Click Time,Module,Lesson No.,Pedagogical No.,Time Difference (s),If Playground,If Question,Type of Question,No. of Correct Answ. Clicked,No. of Incorrect Answ. Clicked
12:08:36,1,1,1,,0,0,0,0,0
12:08:36,1,1,0,0,0,0,0,0,0
12:08:39,1,1,0,3,0,0,0,0,0
12:08:39,1,1,0,0,0,0,0,0,0
12:08:59,1,1,0,20,0,1,mult,1,0
12:09:03,1,1,0,4,0,1,mult,1,0
12:09:03,1,2,1,0,0,1,mult,1,0
12:09:03,1,2,0,0,0,0,0,0,0
12:09:05,1,2,0,2,0,0,0,0,0
12:09:05,1,2,0,0,0,0,0,0,0
12:09:07,1,2,0,2,0,0,0,0,0
12:09:19,1,2,0,12,1,0,0,0,0
12:09:20,1,2,0,1,1,0,0,0,0
12:09:20,1,3,1,0,0,0,0,0,0
12:09:20,1,3,0,0,0,0,0,0,0
12:09:24,1,3,0,4,0,0,0,0,0
12:09:29,1,3,0,5,1,0,0,0,0
12:09:30,1,3,0,1,1,0,0,0,0
12:09:30,1,3,0,0,0,0,0,0,0
12:09:40,1,3,0,10,0,1,mult,1,1
12:09:54,1,3,0,14,0,1,mult,1,1
12:09:55,1,3,0,1,0,1,mult,1,1
12:09:55,1,4,0,0,0,1,mult,1,1
12:09:55,1,4,0,0,0,0,0,0,0
12:10:11,1,4,0,16,0,1,d&d,1,1
12:10:17,1,4,0,6,0,1,d&d,1,1
12:10:18,1,4,1,1,0,1,d&d,1,1
12:10:18,1,4,0,0,0,1,d&d,1,1
12:10:20,1,4,0,2,0,0,0,0,0
12:10:44,1,4,0,24,1,0,0,0,0
12:10:45,1,4,0,1,1,0,0,0,0
12:10:45,1,5,0,0,0,0,0,0,0
12:10:45,1,5,0,0,0,0,0,0,0
12:11:02,1,5,0,17,0,1,mult,1,2
12:11:05,1,5,0,3,0,1,mult,1,2
12:11:11,1,5,0,6,0,1,mult,1,2
12:11:15,1,5,1,4,0,1,mult,1,2
12:11:15,1,5,0,0,0,1,mult,1,2
12:11:17,1,5,0,2,0,0,0,0,0
12:11:37,1,5,0,20,1,0,0,0,0
12:11:38,1,5,0,1,1,0,0,0,0
12:11:38,1,6,1,0,0,0,0,0,0
12:11:38,1,6,0,0,0,0,0,0,0
12:11:40,1,6,0,2,0,0,0,0,0
12:11:48,1,1,1,8,0,0,0,0,0
12:11:48,1,1,0,0,0,0,0,0,0
12:11:50,1,1,0,2,0,0,0,0,0
12:11:50,1,1,0,0,0,0,0,0,0
12:11:51,1,1,0,1,0,0,0,0,0
12:11:55,1,1,0,4,0,0,0,0,0
12:11:56,1,1,0,1,0,0,0,0,0
12:11:56,1,2,0,0,1,0,0,0,0
12:11:56,1,2,0,0,1,0,0,0,0
12:12:03,1,2,0,7,0,0,0,0,0
12:12:03,1,2,0,0,0,0,0,0,0
12:12:07,1,2,0,4,0,0,0,0,0
12:12:08,1,2,1,1,0,1,d&d,1,0
12:12:08,1,2,0,0,0,1,d&d,1,0
12:12:08,1,2,0,0,0,1,d&d,1,0
12:12:08,1,3,0,0,0,0,0,0,0
12:12:08,1,3,0,0,0,0,0,0,0
12:12:17,1,3,0,9,0,0,0,0,0
12:12:21,1,3,0,4,0,0,0,0,0
12:12:22,1,3,1,1,0,1,d&d,1,1
12:12:22,1,3,0,0,0,1,d&d,1,1
12:12:24,1,3,0,2,0,1,d&d,1,1
12:12:26,1,3,0,2,0,1,d&d,1,1
12:12:26,1,4,0,0,0,0,0,0,0
12:12:26,1,4,0,0,1,0,0,0,0
12:12:31,1,4,0,5,0,0,0,0,0
12:12:32,1,4,1,1,0,0,0,0,0
12:12:32,1,4,0,0,0,1,mult,1,0
12:12:33,1,4,0,1,0,1,mult,1,0
12:12:33,1,5,0,0,0,1,mult,1,0
12:12:33,1,5,0,0,0,0,0,0,0
12:12:37,1,5,0,4,0,0,0,0,0
12:12:37,1,5,0,0,0,0,0,0,0
12:12:54,1,5,0,17,0,1,d&d,1,3
12:12:54,1,5,0,0,0,1,d&d,1,3
12:12:55,1,5,1,1,0,1,d&d,1,3
12:12:55,1,5,0,0,0,1,d&d,1,3
12:12:57,1,5,0,2,0,1,d&d,1,3
12:12:57,1,6,1,0,0,1,d&d,1,3
12:12:57,1,6,0,0,0,0,0,0,0
12:12:58,1,6,0,1,0,0,0,0,0
12:12:58,1,6,0,0,0,0,0,0,0
12:13:00,1,6,0,2,0,0,0,0,0
12:13:00,1,7,1,0,0,0,0,0,0
12:13:00,1,7,0,0,0,0,0,0,0
12:13:01,1,7,0,1,0,0,0,0,0
