Line Number,Time Difference,Data
Top 5 lines with the greatest time differences:
31,0:00:23,"Playground Page Open,10:59:27"
35,0:00:16,"Multiplechoice Page Open Time,10:59:51"
5,0:00:15,"Multiplechoice Page Open Time,10:57:55"
26,0:00:13,"Draganddrop Page Open Time,10:59:02"
3,0:00:12,"Pedagogical Page Open Time,10:57:43"
All line numbers in order of greatest to least time difference:
31,0:00:23,"Playground Page Open,10:59:27"
35,0:00:16,"Multiplechoice Page Open Time,10:59:51"
5,0:00:15,"Multiplechoice Page Open Time,10:57:55"
26,0:00:13,"Draganddrop Page Open Time,10:59:02"
3,0:00:12,"Pedagogical Page Open Time,10:57:43"
13,0:00:11,"Playground Page Open,10:58:24"
37,0:00:10,"Checkbox Selected: barra inclinada /,11:00:10"
27,0:00:09,"Incorrect Answer Selected: output(729),10:59:15"
18,0:00:08,"Playground Page Open,10:58:42"
10,0:00:06,"Pedagogical Page Open Time,10:58:16"
6,0:00:05,"Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,10:58:10"
17,0:00:05,"Pedagogical Page Open Time,10:58:37"
21,0:00:05,"Multiplechoice Page Open Time,10:58:52"
41,0:00:05,"Playground Page Open,11:00:24"
22,0:00:04,"Checkbox Selected: Falso,10:58:57"
36,0:00:03,"Checkbox Selected: punto y coma ;,11:00:07"
40,0:00:03,"Pedagogical Page Open Time,11:00:21"
12,0:00:02,"Pedagogical2 Page Open Time,10:58:22"
14,0:00:02,"Playground Page Close,10:58:35"
19,0:00:02,"Playground Page Close,10:58:50"
30,0:00:02,"Pedagogical Page Open Time,10:59:25"
45,0:00:02,"Pedagogical Page Open Time,11:00:30"
7,0:00:01,"Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:58:15"
23,0:00:01,"Checkbox Selected: Verdadero,10:59:01"
28,0:00:01,"Correct Answer Selected: print(729),10:59:24"
32,0:00:01,"Playground Page Close,10:59:50"
38,0:00:01,"Checkbox Selected: comillas '' ,11:00:20"
42,0:00:01,"Playground Page Close,11:00:29"
Top 5 lines with the greatest time differences (excluding 'Playground Page Open'):
35,0:00:16,"Multiplechoice Page Open Time,10:59:51"
5,0:00:15,"Multiplechoice Page Open Time,10:57:55"
26,0:00:13,"Draganddrop Page Open Time,10:59:02"
3,0:00:12,"Pedagogical Page Open Time,10:57:43"
37,0:00:10,"Checkbox Selected: barra inclinada /,11:00:10"
Lines with 'Incorrect Answer Selected':
27,"Incorrect Answer Selected: output(729),10:59:15"
Consecutive lines with 'Checkbox Selected':
6,"Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,10:58:10"
7,"Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:58:15"
22,"Checkbox Selected: Falso,10:58:57"
23,"Checkbox Selected: Verdadero,10:59:01"
36,"Checkbox Selected: punto y coma ;,11:00:07"
37,"Checkbox Selected: barra inclinada /,11:00:10"
38,"Checkbox Selected: comillas '' ,11:00:20"
